_id,ID,SCH_NAME,ADDRESS,CITY,POSTAL_CODE,MET_PANEL_ID,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,MUNICIPALITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,OBJECTID,geometry
486,486,Alvin Curling Public School,50 Upper Rouge Trail,Scarborough,M1B 6K4,E,30033029,50,Upper Rouge Trl,50 Upper Rouge Trl,Scarborough,Meadowvale Sheppard Public School,115001,20057597,50,None,,None,18115,486,"{""coordinates"": [[-79.1902392505261, 43.8084816562815]], ""type"": ""MultiPoint""}"
487,487,Humberwood Downs Junior Middle Academy,850 Humberwood Boulevard,Etobicoke,M9W 7A6,E,12551948,850,Humberwood Blvd,850 Humberwood Blvd,Etobicoke,Humberwood Park,115001,30003276,850,None,,None,10534,487,"{""coordinates"": [[-79.6191818734033, 43.7288858667834]], ""type"": ""MultiPoint""}"
488,488,Alexmuir Junior Public School,95 Alexmuir Boulevard,Agincourt,M1V 1H6,E,300827,95,Alexmuir Blvd,95 Alexmuir Blvd,Scarborough,Alexmuir Public School,115001,104290,95,None,,None,7182,488,"{""coordinates"": [[-79.2856134903058, 43.809109322683]], ""type"": ""MultiPoint""}"
489,489,Faywood Arts-Based Curriculum School,95 Faywood Boulevard,North York,M3H 2X5,E,8014986,95,Faywood Blvd,95 Faywood Blvd,North York,Faywood Arts-Based Curriculum School,115001,442642,95,None,,None,5570,489,"{""coordinates"": [[-79.4466973349755, 43.7398550354918]], ""type"": ""MultiPoint""}"
490,490,Lucy Maud Montgomery Public School,95 Murison Boulevard,Scarborough,M1B 2L6,E,366470,95,Murison Blvd,95 Murison Blvd,Scarborough,Lucy Maud Montgomery Public School,115001,105173,95,None,,None,8552,490,"{""coordinates"": [[-79.2093657180027, 43.7969167927449]], ""type"": ""MultiPoint""}"
491,491,Terraview-Willowfield Public School,95 Pachino Boulevard,Scarborough,M1R 4K1,E,370058,95,Pachino Blvd,95 Pachino Blvd,Scarborough,Terraview-Willowfield Public School,115001,108875,95,None,,None,8636,491,"{""coordinates"": [[-79.3085727444468, 43.7637829145381]], ""type"": ""MultiPoint""}"
492,492,Agnes Macphail Public School,112 Goldhawk Trail,Agincourt,M1V 1W5,E,30022742,112,Goldhawk Trl,112 Goldhawk Trl,Scarborough,None,115001,103439,112,None,,None,7999,492,"{""coordinates"": [[-79.2785533935458, 43.819268975669]], ""type"": ""MultiPoint""}"
493,493,Berner Trail Junior Public School,120 Berner Trail,Agincourt,M1B 1B3,E,307348,120,Berner Trl,120 Berner Trl,Scarborough,Berner Trail Junior Public School,115001,104808,120,None,,None,7349,493,"{""coordinates"": [[-79.2211413058912, 43.8014341079073]], ""type"": ""MultiPoint""}"
494,494,Milliken Public School,130 Port Royal Trail,Agincourt,M1V 2T4,E,375326,130,Port Royal Trl,130 Port Royal Trl,Scarborough,Milliken Public School,115001,103623,130,None,,None,8721,494,"{""coordinates"": [[-79.2884969457851, 43.8165865457748]], ""type"": ""MultiPoint""}"
495,495,Mary Shadd Public School,135 Hupfield Trail,Scarborough,M1B 4R6,E,6947413,135,Hupfield Trl,135 Hupfield Trl,Scarborough,Mary Shadd Public School,115001,6947409,135,None,,None,11329,495,"{""coordinates"": [[-79.2183240428671, 43.8143956979563]], ""type"": ""MultiPoint""}"
496,496,Highland Creek Public School,1410 Military Trail,West Hill,M1C 1A8,E,363876,1410,Military Trl,1410 Military Trl,Scarborough,Highland Creek Public School,115001,106744,1410,None,,None,8501,496,"{""coordinates"": [[-79.1784462927192, 43.7835009010173]], ""type"": ""MultiPoint""}"
497,497,Grey Owl Junior Public School,150 Wickson Trail,Agincourt,M1B 1M4,E,398141,150,Wickson Trl,150 Wickson Trl,Scarborough,Grey Owl Junior Public School,115001,104613,150,None,,None,9227,497,"{""coordinates"": [[-79.2133003232257, 43.8039892965967]], ""type"": ""MultiPoint""}"
498,498,Joseph Howe Senior Public School,20 Winter Gardens Trail,West Hill,M1C 3E7,E,398881,20,Winter Gardens Trl,20 Winter Gardens Trl,Scarborough,Joseph Howe Public School,115001,106627,20,None,,None,9519,498,"{""coordinates"": [[-79.13729821037, 43.785807845353]], ""type"": ""MultiPoint""}"
499,499,Tom Longboat Junior Public School,37 Crow Trail,Scarborough,M1B 1X6,E,324647,37,Crow Trl,37 Crow Trl,Scarborough,Tom Longboat Junior Public School,115001,104120,37,None,,None,7689,499,"{""coordinates"": [[-79.2316269659623, 43.8104461724402]], ""type"": ""MultiPoint""}"
500,500,Highcastle Public School,370 Military Trail,West Hill,M1E 4E6,E,363718,370,Military Trl,370 Military Trl,Scarborough,Highcastle Public School,115001,106480,370,None,,None,8501,500,"{""coordinates"": [[-79.2124956285055, 43.7867616021878]], ""type"": ""MultiPoint""}"
501,501,Banting and Best Public School,380 Goldhawk Trail,Agincourt,M1V 4E7,E,338836,380,Goldhawk Trl,380 Goldhawk Trl,Scarborough,Banting & Best Public School,115001,103029,380,None,,None,7999,501,"{""coordinates"": [[-79.2798335039423, 43.8268714163484]], ""type"": ""MultiPoint""}"
502,502,Port Royal Public School,408 Port Royal Trail,Agincourt,M1V 4R1,E,5024206,408,Port Royal Trl,408 Port Royal Trl,Scarborough,Port Royal Public School,115001,5024208,408,None,,None,8721,502,"{""coordinates"": [[-79.2899667499679, 43.8246324049807]], ""type"": ""MultiPoint""}"
503,503,Alexander Stirling Public School,70 Fawcett Trail,Scarborough,M1B 3A9,E,333733,70,Fawcett Trl,70 Fawcett Trl,Scarborough,Alexander Stirling Public School,115001,103838,70,None,,None,7886,503,"{""coordinates"": [[-79.2076059405385, 43.8116563251017]], ""type"": ""MultiPoint""}"
504,504,Malvern Junior Public School,70 Mammoth Hall Trail,Agincourt,M1B 1P6,E,358756,70,Mammoth Hall Trl,70 Mammoth Hall Trl,Scarborough,Malvern Junior Public School,115001,30060555,70,None,,None,8403,504,"{""coordinates"": [[-79.2332519441342, 43.7978394610251]], ""type"": ""MultiPoint""}"
505,505,Military Trail Public School,701 Military Trail,West Hill,M1E 4P6,E,6942851,701,Military Trl,701 Military Trl,Scarborough,Military Trail Public School,115001,14658974,701,None,,None,8501,505,"{""coordinates"": [[-79.1971169704309, 43.7891154918287]], ""type"": ""MultiPoint""}"
506,506,Emily Carr Public School,90 John Tabor Trail,Scarborough,M1B 2V2,E,349131,90,John Tabor Trl,90 John Tabor Trl,Scarborough,Emily Carr Public School,115001,104486,90,None,,None,8200,506,"{""coordinates"": [[-79.2069358552156, 43.8050223865269]], ""type"": ""MultiPoint""}"
507,507,Greenholme Junior Middle School,10 Jamestown Crescent,Etobicoke,M9V 3M5,E,9178016,10,Jamestown Cres,10 Jamestown Cres,Etobicoke,Greenholme Public School,115001,30081010,10,None,,None,1870,507,"{""coordinates"": [[-79.582908112082, 43.7350715355536]], ""type"": ""MultiPoint""}"
508,508,Portage Trail Community School,100 Sidney Belsey Crescent,York,M6M 5H6,E,14171495,100,Sidney Belsey Cres,100 Sidney Belsey Cres,York,Portage Trail Community School,115001,30055631,100,None,,None,11205,508,"{""coordinates"": [[-79.5097668839041, 43.6922961842952]], ""type"": ""MultiPoint""}"
509,509,Western Technical-Commercial School,125 Evelyn Crescent,Toronto,M6P 3E3,S,7986677,125,Evelyn Cres,125 Evelyn Cres,former Toronto,The Student School,115001,7986678,125,None,,None,3415,509,"{""coordinates"": [[-79.4745815146538, 43.6570914920911]], ""type"": ""MultiPoint""}"
510,510,THESTUDENTSCHOOL,160 Glendonwynne Road,Toronto,M6P 0A5,S,30041280,160,Glendonwynne Rd,160 Glendonwynne Rd,former Toronto,Entrance to Specialty School,115001,1144630,160,None,,None,3537,510,"{""coordinates"": [[-79.4741378104814, 43.657050103374]], ""type"": ""MultiPoint""}"
511,511,General Brock Public School,140 Chestnut Crescent,Scarborough,M1L 1Y5,E,319504,140,Chestnut Cres,140 Chestnut Cres,Scarborough,General Brock Public School,115001,30055414,140,None,,None,7580,511,"{""coordinates"": [[-79.2745902135289, 43.7185070990624]], ""type"": ""MultiPoint""}"
512,512,Braeburn Junior School,15 Tandridge Crescent,Etobicoke,M9W 2N8,E,1035925,15,Tandridge Cres,15 Tandridge Cres,Etobicoke,Braeburn Public School,115001,907479,15,None,,None,2579,512,"{""coordinates"": [[-79.5488638133372, 43.7280298273892]], ""type"": ""MultiPoint""}"
513,513,Blythwood Junior Public School,2 Strathgowan Crescent,Toronto,M4N 2Z5,E,7754014,2,Strathgowan Cres,2 Strathgowan Cres,former Toronto,Blythwood Junior Public School,115001,7754013,2,None,,None,4499,513,"{""coordinates"": [[-79.3895057084414, 43.7199314988808]], ""type"": ""MultiPoint""}"
