_id,Operating Name,Category,Issued,Licence Address Line 1,city_std,latitude,longitude
1482,BUDGET RENT A CAR,DRIVE-SELF RENTAL OWNER,2002-01-01,415 KING ST W,TORONTO,43.6454613732361,-79.3950193609627
1483,,DRIVE-SELF RENTAL OWNER,2002-01-01,2401 DUNDAS ST W,TORONTO,43.6581604041627,-79.4529264665509
1489,BUDGET RENT A CAR,DRIVE-SELF RENTAL OWNER,2002-02-11,626 DIXON RD,TORONTO,43.690717033769744,-79.5748848171167
1491,NATIONAL CAR RENTAL,DRIVE-SELF RENTAL OWNER,2005-04-22,20 CONTINENTAL PL,TORONTO,43.7635628587434,-79.3012973879332
1495,BUDGET RENT A CAR,DRIVE-SELF RENTAL OWNER,2002-01-01,395 REXDALE BLVD,TORONTO,43.7158399042034,-79.5897839922183
1497,BUDGET RENT A CAR,DRIVE-SELF RENTAL OWNER,2002-01-01,556 ST CLAIR AVE W,TORONTO,43.682599533346,-79.42109799792965
1498,BUDGET RENT A CAR,DRIVE-SELF RENTAL OWNER,2002-01-01,1668 QUEEN ST W,TORONTO,43.639181491181,-79.4438252800725
1500,BUDGET RENT A CAR,DRIVE-SELF RENTAL OWNER,2002-01-01,250 DUNDAS ST W,TORONTO,43.654563121687694,-79.38975276046399
1505,ENTERPRISE RENT-A-CAR,DRIVE-SELF RENTAL OWNER,2004-04-29,141 TORYORK DR,TORONTO,43.75774995365367,-79.5542030257117
1507,AVISCAR,DRIVE-SELF RENTAL OWNER,2006-05-19,109 REXDALE BLVD,TORONTO,43.7122853184641,-79.5641861748778
1513,,DRIVE-SELF RENTAL OWNER,1986-12-03,3262 DUNDAS ST W,TORONTO,43.6655631231989,-79.4789579515697
1514,ACTIVE VEHICLES,DRIVE-SELF RENTAL OWNER,1999-10-08,3803 DUNDAS ST W,TORONTO,43.66546567355806,-79.49949181196509
1515,AUTO HIRE RENT-A-CAR (BERMONDSEY),DRIVE-SELF RENTAL OWNER,2002-08-14,8 BERMONDSEY RD,TORONTO,43.71312879390955,-79.3090264323482
1516,DOLLAR THRIFTY CAR RENTAL,DRIVE-SELF RENTAL OWNER,2004-11-04,970 DIXON RD,TORONTO,43.6865581819076,-79.5994192193971
1519,UNITED CAR AND TRUCK RENTAL,DRIVE-SELF RENTAL OWNER,2006-01-27,5462 DUNDAS ST W,TORONTO,43.63220612145217,-79.54454575253347
1520,AVISCAR,DRIVE-SELF RENTAL OWNER,2003-01-31,3193 DUNDAS ST W,TORONTO,43.665535702094544,-79.4759309893238
1521,DISCOUNT CAR AND TRUCK RENTALS,DRIVE-SELF RENTAL OWNER,2004-01-01,305 REXDALE BLVD,TORONTO,43.714272624463945,-79.58304070480165
1526,NATIONAL CAR RENTAL,DRIVE-SELF RENTAL OWNER,2003-08-08,360 REXDALE BLVD,TORONTO,43.7157420230564,-79.58931935236765
